LSOA_Code,LSOA_Name,Borough,Mean_AI,Median_AI,Min_AI,Max_AI,PTAL_2023,PTAL_Score
E01004093,Sutton 025A,Sutton,3.232334282163388,3.134329214648167,0.0,9.212724427522232,1b,2
E01004094,Sutton 025B,Sutton,7.315891181906594,7.693789165944279,2.541228381530386,11.1558543344753,2,3
E01004095,Sutton 025C,Sutton,2.85037742551548,2.489900538765756,1.201853180757635,5.385789431657673,1b,2
E01004096,Sutton 021B,Sutton,6.497596766990003,5.78842119170441,3.693767564296139,12.675894601518715,2,3
E01004097,Sutton 015A,Sutton,7.558993386242397,7.183073839826562,3.14868681724574,20.89233155502352,2,3
E01004098,Sutton 015B,Sutton,7.410052381769428,7.552596069068954,4.627842639643754,12.639875019879751,2,3
E01004099,Sutton 015C,Sutton,9.767943237670302,10.298150069168685,1.56505742872727,15.255250685286445,2,3
E01004100,Sutton 015D,Sutton,7.886548923522905,7.640507652394555,4.682670515846933,11.59882884466936,2,3
E01004101,Sutton 013A,Sutton,5.597485709524816,5.194945861001441,3.834011800387017,9.550900640095016,2,3
E01004102,Sutton 015E,Sutton,9.03542821077553,10.578008346896569,2.304693685442458,13.383786646188346,2,3
E01004103,Sutton 013B,Sutton,5.952924852800732,6.136707445949607,4.353391146071277,7.738150070189362,2,3
E01004104,Sutton 020A,Sutton,6.040185127777435,5.961311610135864,2.414652447120393,10.046209407483255,2,3
E01004105,Sutton 022C,Sutton,6.282189795913045,6.701297858999368,1.243724263128544,8.67407860335249,2,3
E01004106,Sutton 022D,Sutton,2.503041754213395,2.393416197781466,0.0,7.144468326369344,1b,2
E01004107,Sutton 020B,Sutton,4.618897333045713,4.109498670014612,2.953501241651669,7.296176192808533,1b,2
E01004108,Sutton 024C,Sutton,0.72909952110676,0.0,0.0,6.031215488434323,1a,1
E01004109,Sutton 024D,Sutton,2.309329977051609,2.08339441057401,0.0,4.42072504639839,1a,1
E01004110,Sutton 016A,Sutton,7.239593272277824,7.63080187671051,3.587814350174718,10.621592432084014,2,3
E01004111,Sutton 016B,Sutton,5.108648401983738,5.516504949574763,0.0,10.106134414899078,2,3
E01004112,Sutton 016C,Sutton,4.80607384491243,4.390589861953083,1.341333821901677,9.390213544236506,1b,2
E01004114,Sutton 025D,Sutton,0.385160518324149,0.0,0.0,2.923138105229,1a,1
E01004115,Sutton 009A,Sutton,4.297388223001295,4.015193367339402,2.184566443153247,6.812786673548644,1b,2
E01004116,Sutton 008A,Sutton,3.347091429313572,1.938154892513983,0.0,7.26571225382486,1b,2
E01004117,Sutton 006A,Sutton,0.802086501682818,0.703387874528942,0.0,3.121193853233112,1a,1
E01004118,Sutton 009B,Sutton,8.57927668084197,8.908398832731976,5.438292591648349,10.824357073381782,2,3
E01004119,Sutton 009C,Sutton,6.817481798641482,6.748597596339409,3.694562817211554,10.624477145141292,2,3
E01004120,Sutton 016D,Sutton,5.076857722357278,5.725935342053132,0.0,7.882878269148991,2,3
E01004121,Sutton 006B,Sutton,5.945323765160615,5.947800776510986,1.416004583432613,9.593001370850534,2,3
E01004122,Sutton 008B,Sutton,3.747858862587993,3.557714602669261,0.0,8.553630116504237,1b,2
E01004123,Sutton 002A,Sutton,8.900633788791925,8.727719555217142,5.253938689337958,13.130823323852448,2,3
E01004124,Sutton 002B,Sutton,6.193884325084964,5.738030498058059,0.0,10.88524121825311,2,3
E01004125,Sutton 001A,Sutton,7.208201340932805,7.376424077488817,5.883897769687485,7.862969279018349,2,3
E01004126,Sutton 002C,Sutton,7.352333203405257,7.437892401295302,6.55719748460176,8.038892620241366,2,3
E01004127,Sutton 005A,Sutton,6.139764007118067,6.503550548412456,4.386652686924586,7.354008667785648,2,3
E01004128,Sutton 002D,Sutton,6.217836432921877,6.304703565511511,4.536164954384637,7.837285007683454,2,3
E01004129,Sutton 002E,Sutton,10.197698578158704,10.85119320893642,2.979264655934707,15.225390073343966,3,4
E01004130,Sutton 003A,Sutton,4.178298532453121,3.775524082506643,0.0,8.073847919403427,1b,2
E01004131,Sutton 003B,Sutton,5.112425697450758,5.62560975072507,2.249040735688217,7.316917329520578,2,3
E01004132,Sutton 009D,Sutton,4.791429785465291,5.35230576993402,2.007532048266441,7.639492134712028,1b,2
E01004133,Sutton 009E,Sutton,3.102325526586106,2.728974062834571,1.795456221268161,5.325864155464913,1b,2
E01004134,Sutton 003C,Sutton,6.543201109524086,6.246090569081067,5.170683189947527,8.661624297097342,2,3
E01004135,Sutton 003D,Sutton,4.58603758807919,4.628277424601322,2.226266451397536,7.185127701874583,1b,2
E01004136,Sutton 003E,Sutton,4.959711495554838,4.887771792792476,0.0,7.603884137030986,1b,2
E01004137,Sutton 012A,Sutton,22.97742864822716,22.82333388702344,15.024709404392013,26.926669269328457,5,6
E01004138,Sutton 013C,Sutton,7.788825851851046,5.768268595117446,5.257942008078033,19.703079206026715,2,3
E01004139,Sutton 013D,Sutton,13.403811545713252,10.929799709145067,4.812883968998565,24.005008299514344,3,4
E01004140,Sutton 012B,Sutton,18.974924015416622,18.135052277565386,13.911265470578924,26.649616246532965,4,5
E01004141,Sutton 012C,Sutton,10.870678908752248,13.313589110827731,5.47744440558124,16.69714267594046,3,4
E01004143,Sutton 014A,Sutton,14.90901971708404,15.325528364334462,5.786341148329055,18.369653798255868,3,4
E01004144,Sutton 007A,Sutton,9.10997747452832,9.01911863471404,0.0,16.96840020257626,2,3
E01004145,Sutton 007B,Sutton,7.515806615114577,6.62342198203365,4.568413437525684,13.577501626366086,2,3
E01004146,Sutton 007C,Sutton,15.486779037638788,15.378127011339432,6.17718745626247,23.230214416716056,4,5
E01004147,Sutton 007D,Sutton,3.34377950500811,2.554853133993595,1.238594608156116,12.830417263585892,1b,2
E01004148,Sutton 014B,Sutton,8.715897385648866,5.888080368827823,3.022299883714871,19.46110291841528,2,3
E01004149,Sutton 012E,Sutton,9.236024893077634,5.929871433982208,1.208658462796676,18.115321913137485,2,3
E01004150,Sutton 021C,Sutton,17.187061243978015,18.12674254151076,7.498791024784156,25.361209538152885,4,5
E01004151,Sutton 021D,Sutton,5.908160949248712,7.001564223342328,0.0,16.971987376821545,2,3
E01004152,Sutton 018A,Sutton,16.40186497328882,15.47799186398482,7.250924094508154,27.43059882596476,4,5
E01004153,Sutton 021E,Sutton,8.393657085804332,10.096075026347172,1.789815723238141,16.11293186057618,2,3
E01004154,Sutton 022E,Sutton,3.241794198701835,3.93945458838104,0.0,6.569964492082619,1b,2
E01004155,Sutton 018B,Sutton,8.060650579219597,5.906151001462828,1.850553029292785,16.785315770187076,2,3
E01004156,Sutton 018C,Sutton,19.139739916824645,21.117278355814168,7.053712180480368,28.03712136774297,4,5
E01004157,Sutton 016E,Sutton,8.217984854957948,8.134386828053326,4.333578271276644,11.263809628336212,2,3
E01004158,Sutton 018D,Sutton,7.908667321544439,8.082646511897314,2.147383877402858,19.74926048641804,2,3
E01004159,Sutton 014C,Sutton,5.335240775300656,5.029529748260772,1.483936066753247,14.338878312209005,2,3
E01004160,Sutton 014D,Sutton,6.516824827749562,6.582429529448,3.601581319939335,17.736445200000695,2,3
E01004161,Sutton 014E,Sutton,4.360551591901912,4.433342084349559,1.389551695601945,6.539001499684981,1b,2
E01004162,Sutton 018E,Sutton,17.536675538024788,18.90705270554408,4.880766560372567,23.194787264591827,4,5
E01004163,Sutton 005B,Sutton,5.233371490295711,4.98018795949433,3.915873997822637,8.652553532227813,2,3
E01004164,Sutton 004A,Sutton,7.692323497115896,7.943809432907981,3.570425904147708,12.553704257293752,2,3
E01004165,Sutton 005C,Sutton,9.843528866723693,10.556026920910483,4.88728756510745,12.404284373347116,2,3
E01004166,Sutton 004B,Sutton,7.054690832598841,6.913415999383817,3.318660193421233,11.939841445789837,2,3
E01004167,Sutton 005D,Sutton,5.560690457297243,5.444640936400458,4.20008779923625,7.814991651815789,2,3
E01004168,Sutton 013E,Sutton,4.446229199165215,4.047955647813356,2.626527771720869,8.808812208446293,1b,2
E01004169,Sutton 004C,Sutton,4.920754079875317,4.884300235936511,3.151286461628802,7.792487939086105,1b,2
E01004170,Sutton 017B,Sutton,13.039345617893948,12.641910930121687,9.472894817189744,16.94366890456857,3,4
E01004171,Sutton 010A,Sutton,7.432287433111449,7.523188452586254,2.245967322156048,13.88351507931212,2,3
E01004172,Sutton 010B,Sutton,11.619809730110282,12.098595231550735,7.425021961474187,15.078458183930826,3,4
E01004173,Sutton 010C,Sutton,5.54892732713223,5.172095250002622,0.0,11.67338466719742,2,3
E01004174,Sutton 017C,Sutton,11.173644416892468,11.402685690025722,6.2629639137372,15.18305591478302,3,4
E01004175,Sutton 010D,Sutton,6.010499264966547,6.191196004544219,2.00548710360246,10.029622926551038,2,3
E01004176,Sutton 010E,Sutton,11.875492106047076,12.354144001883746,6.392707783716586,15.937529398319557,3,4
E01004177,Sutton 020C,Sutton,13.471133939838476,13.194308698509555,7.780366069235338,16.53142919341048,3,4
E01004178,Sutton 017D,Sutton,12.654798765116704,13.812805547997147,4.467916837040763,17.40374504993845,3,4
E01004179,Sutton 017E,Sutton,8.11831894397835,6.092320368509101,4.284846225766691,14.8821343663221,2,3
E01004180,Sutton 020D,Sutton,4.497412264872763,3.586153255802411,0.0,13.586383163516732,1b,2
E01004181,Sutton 020E,Sutton,5.71474963294802,4.729383808208627,3.899821270541397,13.416154731671234,2,3
E01004182,Sutton 019E,Sutton,7.043529634750248,6.890074492804164,4.796191734022882,11.272145550357354,2,3
E01004183,Sutton 001B,Sutton,6.171636773553114,6.296941557940741,3.196939937809163,7.941446275196428,2,3
E01004184,Sutton 001C,Sutton,2.483502338407265,3.091729500937289,0.0,5.840699397464551,1a,1
E01004185,Sutton 001D,Sutton,4.715318309602496,3.731243200145316,0.0,11.702883465471874,1b,2
E01004186,Sutton 004D,Sutton,5.489984051197919,3.965110331092853,2.216876492711786,10.320582988392593,2,3
E01004187,Sutton 005E,Sutton,3.458275266394701,3.999213065231472,0.0,6.81667943949577,1b,2
E01004189,Sutton 001E,Sutton,4.850584679935309,5.300909871956684,0.0,8.51067265189961,1b,2
E01004190,Sutton 008C,Sutton,4.659808074794459,4.600491231148392,1.833092572157021,7.230159169263475,1b,2
E01004191,Sutton 008D,Sutton,8.524303208350249,8.407062421558313,5.518456360341377,11.629192198171967,2,3
E01004192,Sutton 006C,Sutton,2.369400007230312,2.043306651718834,0.0,7.545809429333448,1a,1
E01004193,Sutton 006D,Sutton,1.880963096447829,1.864269761010324,0.0,5.844926345672124,1a,1
E01004194,Sutton 008E,Sutton,3.792152051707533,3.267841900639852,1.539732419248303,7.569897302366028,1b,2
E01004195,Sutton 006E,Sutton,6.454063682776487,7.032940534278683,2.050806861802155,9.230284568467754,2,3
E01004196,Sutton 008F,Sutton,5.218028819735756,5.056015702490671,2.081662158070049,8.507547594390509,2,3
E01004198,Tower Hamlets 002B,Tower Hamlets,27.966550056901315,28.033011613919623,24.85553146983324,31.163583932074797,6a,7
